Curve CH4
91550 16
91600 16
91650 16
91700 16
91750 16
91800 16
91850 16
91900 16
91950 16
92000 16
92050 16
92100 16
92150 16
92200 16
92250 16
92300 16
92350 16
92400 16
92450 16
92500 16
92550 16
92600 16
92650 16
92700 16
92750 16
92800 16
92850 16
92900 16
92950 16
93000 16
93050 16
93100 16
93150 16
93200 16
93250 16
93300 16
93350 16
93400 16
93450 16
93500 16
93550 16
93600 16
93650 16
93700 16
93750 16
93800 16
93850 16
93900 16
93950 16
94000 16
94050 16
94100 16
94150 16
94200 16
94250 16
94300 16
94350 16
94400 16
94450 16
94500 16
94550 16
94600 16
94650 16
94700 16
94750 16
94800 16
94850 16
94900 16
94950 16
95000 16
95050 16
95100 16
95150 16
95200 16
95250 16
95300 16
95350 16
95400 16
95450 16
95500 16
95550 16
95600 16
95650 16
95700 16
95750 16
95800 16
95850 16
95900 16
95950 16
96000 16
96050 16
96100 16
96150 16
96200 16
96250 16
96300 16
96350 16
96400 16
96450 16
96500 16
96550 16
96600 16
96650 16
96700 16
96750 16
96800 16
96850 16
96900 16
96950 16
97000 16
97050 16
97100 16
97150 16
97200 16
97250 16
97300 16
97350 16
97400 16
97450 16
97500 16
97550 16
97600 16
97650 16
97700 16
97750 16
97800 16
97850 16
97900 16
97950 16
98000 16
98050 16
98100 16
98150 16
98200 16
98250 16
98300 16
98350 16
98400 16
98450 16
98500 16
98550 16
98600 16
98650 16
98700 16
98750 16
98800 16
98850 16
98900 16
98950 16
99000 16
99050 16
99100 16
99150 16
99200 16
99250 16
99300 16
99350 16
99400 16
99450 16
99500 16
99550 16
99600 16
99650 16
99700 16
99750 16
99800 16
99850 16
99900 16
99950 16
100000 16
100050 16
100100 16
100150 16
100200 16
100250 16
100300 16
100350 16
100400 16
100450 16
100500 16
100550 16
100600 16
100650 16
100700 16
100750 16
100800 16
100850 16
100900 16
100950 16
101000 16
101050 16
101100 16
101150 16
101200 16
101250 16
101300 16
101350 16
101400 16
